iter	Passed	Remaining
379	148571	236931
380	148881	236412
381	149399	236222
382	149535	235430
383	149619	234559
384	149681	233659
385	150138	233375
386	150403	232795
387	150484	231931
388	150703	231284
389	151149	230987
390	151517	230570
391	151760	229963
392	152242	229719
393	152825	229625
394	152881	228741
395	153383	228525
396	153477	227703
397	153977	227484
398	154450	227224
399	154546	226410
400	154603	225543
401	155110	225335
402	155475	224917
403	155890	224575
404	156408	224379
405	156812	224017
406	157394	223910
407	157615	223289
408	157950	222829
409	158472	222633
410	158566	221839
411	159101	221660
412	159587	221412
413	160098	221199
414	160657	221048
415	160752	220261
416	161232	220003
417	161692	219716
418	162192	219482
419	162575	219090
420	163067	218843
421	163217	218139
422	163722	217910
423	163824	217144
424	163987	216463
425	164057	215662
426	164209	214972
427	164450	214400
428	164694	213833
429	165185	213588
430	165684	213352
431	166117	213030
432	166541	212695
433	167040	212457
434	167635	212338
435	168219	212203
436	168320	211459
437	168643	210996
438	169160	210775
439	169426	210242
440	169970	210053
441	170504	209851
442	171004	209606
443	171100	208865
444	171321	208280
445	171634	207808
446	172203	207646
447	172682	207372
448	173232	207184
449	173797	207011
450	174273	206732
451	174719	206416
452	175216	206160
453	175711	205899
454	176193	205623
455	176629	205293
456	177179	205093
457	177693	204852
458	177813	204155
459	178188	203754
460	178722	203534
461	178896	202904
462	179385	202632
463	179874	202358
464	180427	202156
465	180844	201800
466	181370	201565
467	181481	200870
468	181968	200592
469	182041	199858
470	182548	199601
471	182671	198926
472	183144	198632
473	183666	198390
474	184143	198099
475	184392	197563
476	184879	197282
477	185404	197040
478	185914	196781
479	186401	196497
480	186825	196147
481	187397	195950
482	187838	195616
483	188350	195355
484	188823	195052
485	188897	194339
486	189365	194032
487	189829	193719
488	190297	193411
489	190705	193040
490	191208	192766
491	191770	192550
492	192315	192315
493	192862	192081
494	193516	191953
495	194016	191669
496	194545	191413
497	194994	191079
498	195509	190807
499	196036	190547
500	196545	190268
501	197089	190022
502	197589	189732
503	197716	189086
504	198187	188768
505	198647	188440
506	199168	188168
507	199647	187857
508	200169	187585
509	200659	187281
510	201157	186986
511	201640	186674
512	202140	186379
513	202619	186063
514	203048	185700
515	203373	185243
516	203509	184614
517	203802	184130
518	204262	183797
519	204828	183557
520	205326	183256
521	205832	182961
522	206366	182691
523	206902	182421
524	207286	182017
525	207744	181677
526	208298	181420
527	208802	181120
528	209173	180703
529	209730	180447
530	210282	180185
531	210795	179889
532	211310	179593
533	211822	179295
534	212285	178954
535	212379	178303
536	212641	177794
537	213092	177444
538	213591	177134
539	214089	176822
540	214500	176437
541	214733	175907
542	215220	175584
543	215684	175243
544	216262	174994
545	216851	174752
546	217419	174491
547	217882	174146
548	218394	173840
549	218966	173581
550	219548	173327
551	220108	173056
552	220609	172737
553	221157	172454
554	221665	172139
555	222201	171846
556	222784	171587
557	223296	171273
558	223880	171014
559	224366	170679
560	224908	170385
561	225457	170096
562	225979	169785
563	226458	169442
564	226966	169120
565	227449	168778
566	228000	168486
567	228543	168188
568	229075	167881
569	229636	167594
570	230198	167307
571	230667	166951
572	231177	166625
573	231645	166268
574	232085	165890
575	232563	165540
576	233025	165177
577	233509	164830
578	234058	164528
579	234634	164243
580	235119	163895
581	235626	163561
582	236153	163241
583	236669	162913
584	237153	162561
585	237666	162229
586	238218	161923
587	238699	161568
588	239220	161240
589	239642	160844
590	240112	160480
591	240629	160148
592	241130	159805
593	241522	159388
594	242014	159037
595	242528	158701
596	243012	158344
597	243529	158009
598	243983	157631
599	244489	157288
600	245023	156962
601	245498	156596
602	246031	156268
603	246575	155946
604	247071	155593
605	247537	155221
606	248014	154855
607	248558	154531
608	249038	154166
609	249575	153836
610	250119	153510
611	250627	153161
612	251180	152839
613	251646	152463
614	252231	152159
615	252737	151806
616	253270	151469
617	253801	151130
618	254249	150742
619	254817	150424
620	255299	150055
621	255800	149696
622	256263	149315
623	256780	148965
624	257319	148627
625	257834	148275
626	258257	147869
627	258804	147534
628	259331	147187
629	259821	146819
630	260364	146480
631	260875	146123
632	261333	145736
633	261633	145260
634	262131	144894
635	262653	144541
636	263125	144161
637	263660	143814
638	264186	143462
639	264675	143090
640	265226	142750
641	265685	142361
642	266199	142000
643	266626	141593
644	267107	141215
645	267564	140823
646	268031	140436
647	268553	140079
648	269081	139723
649	269576	139350
650	270080	138981
651	270714	138679
652	271372	138387
653	271857	138007
654	272574	137743
655	273104	137385
656	273671	137043
657	274182	136674
658	274752	136333
659	275304	135983
660	275798	135604
661	276364	135260
662	276821	134861
663	277291	134469
664	277718	134056
665	278235	133686
666	278769	133324
667	279373	132995
668	279889	132623
669	280635	132359
670	281176	131997
671	281675	131616
672	282253	131271
673	282788	130904
674	283285	130521
675	283858	130171
676	284365	129791
677	284861	129406
678	285343	129014
679	285882	128647
680	286380	128261
681	286811	127845
682	287334	127470
683	287858	127095
684	288342	126702
685	288815	126304
686	289333	125925
687	289693	125477
688	290214	125099
689	290761	124732
690	291228	124330
691	291789	123968
692	292350	123605
693	292904	123239
694	293458	122872
695	293975	122489
696	294407	122071
697	294946	121697
698	295364	121272
699	295876	120886
700	296319	120472
701	296847	120092
702	297386	119716
703	297892	119326
704	298322	118905
705	298860	118528
706	299319	118119
707	299857	117740
708	300357	117347
709	300931	116982
710	301428	116586
711	301940	116196
712	302372	115775
713	302895	115388
714	303395	114993
715	303860	114584
716	304385	114197
717	304931	113818
718	305461	113432
719	305984	113044
720	306524	112661
721	306982	112248
722	307481	111850
723	307976	111450
724	308368	111012
725	308716	110559
726	309199	110155
727	309689	109752
728	310200	109357
729	310750	108975
730	311264	108580
731	311749	108175
732	312264	107780
733	312769	107381
734	313313	106995
735	313779	106582
736	314316	106193
737	314826	105795
738	315301	105385
739	315872	105006
740	316437	104624
741	316604	104112
742	317075	103700
743	317523	103280
744	318010	102873
745	318524	102474
746	318973	102054
747	319429	101636
748	319924	101231
749	320416	100824
750	320992	100443
751	321554	100058
752	322010	99639
753	322608	99264
754	323074	98847
755	323555	98436
756	324097	98042
757	324639	97648
758	325222	97266
759	325756	96869
760	326362	96493
761	326856	96083
762	327368	95679
763	327892	95277
764	328371	94862
765	328850	94447
766	329373	94045
767	329923	93650
768	329999	93120
769	330510	92714
770	331042	92314
771	331447	91877
772	331966	91473
773	332476	91066
774	332978	90655
775	333507	90253
776	334000	89840
777	334543	89441
778	335050	89031
779	335533	88615
780	336021	88200
781	336611	87811
782	337101	87396
783	337545	86969
784	338028	86552
785	338458	86121
786	338938	85703
787	339378	85275
788	339834	84850
789	340340	84438
790	340811	84018
791	341354	83614
792	341878	83206
793	342323	82778
794	342852	82370
795	343417	81971
796	343930	81559
797	344487	81157
798	344994	80743
799	345240	80268
800	345688	79840
801	346214	79430
802	346796	79033
803	347260	78608
804	347798	78200
805	348313	77787
806	348814	77370
807	349318	76953
808	349832	76539
809	350334	76122
810	350831	75703
811	351415	75303
812	352022	74907
813	352583	74501
814	353068	74079
815	353624	73671
816	354149	73257
817	354680	72843
818	355170	72421
819	355650	71997
820	356207	71588
821	356759	71178
822	357324	70770
823	357832	70350
824	358361	69934
825	358904	69521
826	359319	69083
827	359829	68663
828	360319	68239
829	360689	67792
830	361185	67369
831	361725	66954
832	362297	66544
833	362776	66117
834	363322	65702
835	363792	65273
836	364220	64837
837	364698	64409
838	365220	63989
839	365750	63570
840	366201	63138
841	366655	62705
842	367182	62286
843	367666	61858
844	368165	61433
845	368700	61014
846	369224	60592
847	369754	60172
848	370287	59751
849	370762	59322
850	371227	58890
851	371811	58477
852	372402	58065
853	372965	57648
854	373425	57214
855	373898	56783
856	374421	56359
857	374862	55923
858	375392	55500
859	375926	55077
860	376404	54646
861	376870	54213
862	377516	53805
863	378038	53380
864	378438	52937
865	378953	52510
866	379466	52083
867	380006	51659
868	380530	51233
869	381036	50804
870	381540	50375
871	382101	49953
872	382696	49535
873	383212	49107
874	383685	48673
875	384137	48236
876	384657	47808
877	385200	47382
878	385747	46956
879	386254	46526
880	386727	46091
881	387288	45666
882	387857	45242
883	388359	44810
884	388815	44373
885	389344	43944
886	389820	43508
887	390327	43076
888	390803	42641
889	391303	42208
890	391821	41776
891	392431	41354
892	392991	40927
893	393533	40497
894	394040	40064
895	394549	39631
896	395068	39198
897	395559	38763
898	396103	38332
899	396648	37901
900	397105	37462
901	397623	37029
902	398146	36595
903	398675	36163
904	399166	35726
905	399736	35296
906	400276	34864
907	400807	34430
908	401320	33995
909	401814	33558
910	402321	33121
