iter	RMSE
525	68921.11846
526	68921.00497
527	68920.60905
528	68920.55941
529	68919.06649
530	68913.25673
531	68912.12293
532	68910.424
533	68908.72615
534	68908.01655
535	68908.01607
536	68907.96436
537	68903.11961
538	68901.00065
539	68900.91446
540	68897.37586
541	68897.37045
542	68896.48371
543	68892.60835
544	68886.74982
545	68886.06669
546	68885.5047
547	68879.19697
548	68875.71583
549	68874.85672
550	68871.88712
551	68865.9157
552	68861.63742
553	68856.91039
554	68855.18996
555	68854.17712
556	68851.32762
557	68850.01991
558	68849.00889
559	68848.89704
560	68843.93671
561	68843.33009
562	68841.40267
563	68833.57752
564	68829.21464
565	68826.91015
566	68826.27385
567	68819.71394
568	68819.22222
569	68819.05816
570	68816.33188
571	68809.54245
572	68808.7195
573	68807.47749
574	68800.71259
575	68798.99314
576	68796.87053
577	68796.05552
578	68795.04873
579	68794.90537
580	68789.24322
581	68787.41816
582	68787.33819
583	68785.9953
584	68785.90586
585	68785.08211
586	68783.36329
587	68783.13369
588	68781.35555
589	68781.31505
590	68774.93513
591	68772.89389
592	68772.56599
593	68772.45914
594	68772.10221
595	68771.92357
596	68769.86939
597	68768.71044
598	68768.52405
599	68768.51085
600	68760.46093
601	68760.12022
602	68755.65542
603	68755.56755
604	68754.48298
605	68753.4973
606	68752.62203
607	68750.09239
608	68749.2982
609	68747.2575
610	68747.16761
611	68745.50559
612	68745.40553
613	68742.03924
614	68741.64096
615	68740.85586
616	68740.03777
617	68739.90868
618	68736.52817
619	68736.30677
620	68734.54704
621	68734.43641
622	68723.71113
623	68723.64107
624	68723.30834
625	68722.99966
626	68722.48829
627	68720.37209
628	68719.49819
629	68719.4786
630	68719.27059
631	68718.32631
632	68714.75792
633	68714.66575
634	68713.90261
635	68708.01273
636	68698.33702
637	68697.8961
638	68697.76617
639	68697.01218
640	68693.41123
641	68688.74494
642	68687.02113
643	68686.73813
644	68685.99473
645	68685.90679
646	68685.54862
647	68682.66422
648	68681.81155
649	68680.72794
650	68679.99295
651	68679.65816
652	68678.15978
653	68670.39248
654	68669.03932
655	68668.86631
656	68668.22324
657	68666.49017
658	68664.78786
659	68664.06408
660	68657.40497
661	68656.62891
662	68648.50028
663	68645.6741
664	68645.64572
665	68644.33017
666	68644.13888
667	68641.96416
668	68636.5148
669	68635.93825
670	68634.03961
671	68633.62249
672	68633.27922
673	68633.19493
674	68629.06637
675	68624.20094
676	68624.18319
677	68623.56627
678	68617.08871
679	68617.02078
680	68616.04326
681	68615.63014
682	68615.43621
683	68614.65032
684	68610.78905
685	68610.58042
686	68601.53353
687	68601.50005
688	68598.54668
689	68598.40311
690	68594.28352
691	68592.95456
692	68589.92522
693	68587.49951
694	68582.92302
695	68582.08888
696	68581.31637
697	68580.62774
698	68580.61392
699	68580.27609
700	68579.72529
701	68570.36668
702	68566.35286
703	68559.98606
704	68558.454
705	68556.75492
706	68556.2894
707	68555.18747
708	68555.16472
709	68554.81035
710	68543.77912
711	68543.17458
712	68542.73665
713	68538.87109
714	68538.69255
715	68535.97948
716	68535.33244
717	68533.96752
718	68533.41295
719	68533.29392
720	68530.51718
721	68530.51191
722	68528.85175
723	68528.678
724	68528.57155
725	68528.03615
726	68528.02623
727	68525.93227
728	68524.85992
729	68524.11679
730	68524.01351
731	68523.27134
732	68523.16101
733	68519.86662
734	68517.65089
735	68516.95366
736	68516.67809
737	68516.61458
738	68515.06938
739	68513.14243
740	68511.60175
741	68511.58716
742	68511.48754
743	68511.2936
744	68510.49658
745	68510.24986
746	68508.90158
747	68508.81387
748	68507.57899
749	68506.83798
750	68505.83864
751	68504.70898
752	68504.69054
753	68503.83603
754	68503.62717
755	68502.96862
756	68498.64521
757	68497.17165
758	68495.75708
759	68492.55713
760	68492.23975
761	68486.77004
762	68484.44434
763	68478.5483
764	68473.9079
765	68473.8439
766	68472.98004
767	68472.34898
768	68472.34869
769	68471.976
770	68469.33718
771	68458.47462
772	68457.03425
773	68453.97854
774	68453.33738
775	68452.97495
776	68452.67257
777	68451.99203
778	68450.55855
779	68450.22042
780	68449.60688
781	68447.91665
782	68439.99243
783	68439.90411
784	68439.12386
785	68439.07575
786	68438.98384
787	68437.59774
788	68437.00538
789	68434.96071
790	68434.92611
791	68434.31821
792	68432.31552
793	68432.23291
794	68431.94585
795	68430.03679
796	68429.88231
797	68423.71088
798	68422.17989
799	68422.11877
800	68422.09831
801	68416.51929
802	68416.01278
803	68415.88957
804	68414.04996
805	68413.27553
806	68413.17834
807	68412.03099
808	68411.49171
809	68411.38072
810	68410.3808
811	68409.34821
812	68400.94464
813	68400.85676
814	68398.38062
815	68397.62217
816	68396.52185
817	68393.39741
818	68391.93481
819	68390.11465
820	68389.96508
821	68389.38045
822	68388.66881
823	68387.7376
824	68383.79951
825	68383.66641
826	68382.19542
827	68380.29891
828	68374.92045
829	68374.24128
830	68370.66875
831	68369.82326
832	68369.38446
833	68368.21336
834	68367.94234
835	68365.91392
836	68361.36203
837	68361.03908
838	68360.65716
839	68359.76233
840	68352.47512
841	68352.40327
842	68345.73226
843	68345.63206
844	68344.81029
845	68341.06043
846	68338.97289
847	68337.29483
848	68336.9155
849	68336.46865
850	68335.95741
851	68333.59072
852	68331.81302
853	68325.29529
854	68324.60308
855	68323.01298
856	68321.97439
857	68321.9361
858	68320.18089
859	68320.06103
860	68318.31934
861	68308.33587
862	68307.71806
863	68307.00615
864	68306.9712
865	68306.62493
866	68306.04983
867	68301.36925
868	68290.53236
869	68289.84438
870	68289.78269
871	68288.65601
872	68288.03887
873	68287.49683
874	68280.69087
875	68274.641
876	68273.67343
877	68272.76915
878	68272.1993
879	68271.51954
880	68271.48143
881	68270.61218
882	68270.3791
883	68270.10822
884	68263.13335
885	68261.91881
886	68261.85026
887	68261.78931
888	68261.73526
889	68257.66263
890	68255.47731
891	68253.01738
892	68252.79187
893	68251.81203
894	68247.79203
895	68246.31742
896	68244.47173
897	68243.4994
898	68242.87098
899	68241.41751
900	68238.64173
901	68232.59885
902	68229.84324
903	68229.70863
904	68227.20076
905	68222.82405
906	68222.59302
907	68221.20564
908	68220.05788
909	68219.99782
910	68214.05024
